Nombres,Fecha_de_lanzamiento,Clasificaciones,Meta_scores,Puntuacion_de_usuarios
Tokyo Story,"March 13, 1972", | Not Rated,100,8.7
The Godfather,"March 24, 1972", | R,100,9.2
Citizen Kane,"September 4, 1941", | Approved,100,8.4
Rear Window,"September 1, 1954", | TV-G,100,8.7
Casablanca,"January 23, 1943", | TV-PG,100,8.8
Three Colors: Red,"November 23, 1994", | R,100,8.5
Boyhood,"July 11, 2014", | R,100,7.4
Vertigo,"May 28, 1958", | PG,100,8.6
Notorious,"September 6, 1946", | Approved,100,7.9
Singin' in the Rain,"April 11, 1952", | G,99,8.6
Playtime,"June 27, 1973", | Not Rated,99,8.8
City Lights,"March 7, 1931", | Passed,99,8.7
Moonlight,"October 21, 2016", | Not Rated,99,7.1
Intolerance,"September 5, 1916", | Not Rated,99,7.1
The Rules of the Game,"April 8, 1950", | Not Rated,99,tbd
Pinocchio,"February 23, 1940", | Passed,99,8.1
Touch of Evil,"February 1, 1958", | PG-13,99,8.4
The Zone of Interest,TBA, | Not Rated,98,tbd
Seven Samurai,"November 19, 1956", | Not Rated,98,8.8
The Wild Bunch,"June 18, 1969", | R,98,7.5
Au hasard Balthazar,"September 16, 1966", | Not Rated,98,7.1
The Lady Vanishes,"November 1, 1938", | Approved,98,8.1
The Treasure of the Sierra Madre,"January 24, 1948", | TV-PG,98,8.0
Pan's Labyrinth,"December 29, 2006", | R,98,8.6
Some Like It Hot,"March 29, 1959", | Approved,98,8.3
North by Northwest,"August 6, 1959", | TV-G,98,8.0
Hoop Dreams,"October 14, 1994", | PG-13,98,8.0
Rashomon,"December 26, 1951", | Not Rated,98,8.5
The Passion of Joan of Arc,"March 28, 1929", | Passed,98,tbd
All About Eve,"October 27, 1950", | TV-PG,98,8.7
Jules and Jim,"April 23, 1962", | Not Rated,97,6.6
My Left Foot,"November 10, 1989", | R,97,8.3
Ran,"December 20, 1985", | R,97,8.4
The Third Man,"September 3, 1949", | Approved,97,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"January 29, 1964", | GP,97,8.4
"Quo Vadis, Aida?","March 5, 2021", | Approved,97,8.1
Psycho,"September 8, 1960", | M,97,8.8
Gone with the Wind,"January 17, 1940", | TV-PG,97,8.3
"4 Months, 3 Weeks and 2 Days","January 23, 2008", | Not Rated,97,7.9
Battleship Potemkin,"December 5, 1926", | Not Rated,97,8.5
A Streetcar Named Desire,"September 19, 1951", | M/PG,97,8.2
The Maltese Falcon,"October 18, 1941", | TV-PG,97,8.0
American Graffiti,"August 11, 1973", | PG,97,7.3
12 Angry Men,"April 1, 1957", | Approved,97,8.8
Dumbo,"October 31, 1941", | Approved,96,7.6
Roma,"November 21, 2018", | Not Rated,96,7.7
Man with a Movie Camera,"May 12, 1929", | Not Rated,96,tbd
Parasite,"October 11, 2019", | Not Rated,96,8.7
Spirited Away,"September 20, 2002", | PG,96,9.0
Toy Story,"November 22, 1995", | TV-G,96,8.8
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","July 2, 2021", | Not Rated,96,7.1
The Shop Around the Corner,"January 12, 1940", | Passed,96,7.2
Rosemary's Baby,"June 12, 1968", | Approved,96,8.3
12 Years a Slave,"October 18, 2013", | R,96,8.0
Manchester by the Sea,"November 18, 2016", | R,96,8.2
The Battle of Algiers,"January 9, 2004", | Not Rated,96,8.0
Killer of Sheep,"March 30, 2007", | Not Rated,96,6.9
Nashville,"June 11, 1975", | R,96,7.8
Red River,"September 17, 1948", | Passed,96,tbd
Sansho the Bailiff,"January 1, 1955", | Not Rated,96,7.3
Ratatouille,"June 29, 2007", | G,96,8.6
The Grapes of Wrath,"March 15, 1940", | Approved,96,8.5
Snow White and the Seven Dwarfs,"February 4, 1938", | G,96,8.1
Children of Paradise (1945),"March 9, 2012", | Not Rated,96,7.8
Mean Streets,"October 14, 1973", | R,96,7.3
The Lady Eve,"March 21, 1941", | Passed,96,6.7
Gravity,"October 4, 2013", | PG-13,96,7.8
Fantasia,"November 13, 1940", | Approved,96,8.3
Beauty and the Beast,"November 22, 1991", | G,95,8.4
Small Axe: Lovers Rock,"November 27, 2020", | Not Rated,95,5.9
The Bride of Frankenstein,"May 6, 1935", | TV-PG,95,7.6
Don't Look Now,"December 9, 1973", | R,95,6.8
The Social Network,"October 1, 2010", | PG-13,95,8.2
My Fair Lady,"December 25, 1964", | G,95,7.4
Portrait of a Lady on Fire,"December 6, 2019", | R,95,8.6
I Am Not Your Negro,"December 9, 2016", | PG-13,95,5.3
Woodstock,"March 26, 1970", | R,95,tbd
Aftersun,"October 21, 2022", | Not Rated,95,7.8
Rocks,"February 1, 2021", | TV-MA,95,6.6
Amour,"December 19, 2012", | PG-13,95,8.1
The Hurt Locker,"June 26, 2009", | R,95,7.3
Anatomy of a Murder,"July 1, 1959", | TV-PG,95,8.1
Zero Dark Thirty,"December 19, 2012", | R,95,6.9
Collective,"November 20, 2020", | Not Rated,95,7.8
A Separation,"December 30, 2011", | PG-13,95,8.8
Double Indemnity,"July 6, 1944", | Passed,95,8.6
Sunrise,"November 4, 1927", | Passed,95,tbd
Schindler's List,"December 15, 1993", | R,95,8.8
Pulp Fiction,"October 14, 1994", | R,95,9.0
WALL-E,"June 27, 2008", | G,95,8.8
Carol,"November 20, 2015", | R,94,7.9
Before Midnight,"May 24, 2013", | R,94,8.3
Amazing Grace,"November 23, 2018",N/A,94,8.2
Dunkirk,"July 21, 2017", | PG-13,94,8.3
The Man Who Shot Liberty Valance,"April 22, 1962", | Approved,94,8.6
The Searchers,"May 26, 1956", | Passed,94,7.5
45 Years,"December 23, 2015", | Not Rated,94,7.3
Taxi Driver,"February 7, 1976", | R,94,7.7
The Servant,"March 16, 1964", | Unrated,94,7.5
Yi Yi,"October 6, 2000", | Not Rated,94,8.4
L.A. Confidential,"September 19, 1997", | TV-MA,91,8.6
Time,"October 9, 2020", | PG-13,91,5.2
Three Colors: White,"June 10, 1994", | R,91,8.2
Gavagai,"August 3, 2018", | Not Rated,91,6.0
The Man Who Would Be King,"December 16, 1975", | PG,91,7.0
A Bread Factory Part Two: Walk With Me a While,"October 26, 2018", | Not Rated,91,tbd
The Killing,"June 6, 1956", | TV-PG,91,7.7
Swing Time,"August 28, 1936", | TV-G,91,6.3
